,Common name,Binomial,Category,Order,Family
576,Tropical scrubwren,Sericornis beccarii,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
577,Scrubtit,Acanthornis magna,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
578,Chestnut-rumped heathwren,Hylacola pyrrhopygia,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
579,Shy heathwren,Hylacola cauta,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
580,Striated fieldwren,Calamanthus fuliginosus,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
581,Rufous fieldwren,Calamanthus campestris,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
582,Redthroat,Pyrrholaemus brunneus,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
583,Speckled warbler,Chthonicola sagittatus,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
584,Weebill,Smicrornis brevirostris,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
585,Brown gerygone,Gerygone mouki,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
586,Norfolk Island gerygone,Gerygone modesta,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
587,Lord Howe gerygone,Gerygone insularis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
588,Mangrove gerygone,Gerygone levigaster,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
589,Western gerygone,Gerygone fusca,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
590,Dusky gerygone,Gerygone tenebrosa,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
591,Large-billed gerygone,Gerygone magnirostris,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
592,Green-backed gerygone,Gerygone chloronota,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
593,Fairy gerygone,Gerygone palpebrosa,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
594,White-throated gerygone,Gerygone albogularis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
595,Slaty-backed thornbill,Acanthiza robustirostris,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
596,Striated thornbill,Acanthiza lineata,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
597,Yellow thornbill,Acanthiza nana,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
598,Yellow-rumped thornbill,Acanthiza chrysorrhoa,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
599,Chestnut-rumped thornbill,Acanthiza uropygialis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
600,Buff-rumped thornbill,Acanthiza reguloides,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
601,Western thornbill,Acanthiza inornata,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
602,Slender-billed thornbill,Acanthiza iredalei,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
603,Tasmanian thornbill,Acanthiza ewingii,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
604,Inland thornbill,Acanthiza apicalis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
605,Brown thornbill,Acanthiza pusilla,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
606,Mountain thornbill,Acanthiza katherina,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
607,Southern whiteface,Aphelocephala leucopsis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
608,Chestnut-breasted whiteface,Aphelocephala pectoralis,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
609,Banded whiteface,Aphelocephala nigricincta,"Scrubwrens, thornbills and allies",Passeriformes,Acanthizidae
610,Spotted pardalote,Pardalotus punctatus,Pardalotes,Passeriformes,Pardalotidae
611,Forty-spotted pardalote,Pardalotus quadragintus,Pardalotes,Passeriformes,Pardalotidae
612,Red-browed pardalote,Pardalotus rubricatus,Pardalotes,Passeriformes,Pardalotidae
613,Striated pardalote,Pardalotus striatus,Pardalotes,Passeriformes,Pardalotidae
614,Eastern spinebill,Acanthorhynchus tenuirostris,Honeyeaters,Passeriformes,Meliphagidae
615,Western spinebill,Acanthorhynchus superciliosus,Honeyeaters,Passeriformes,Meliphagidae
616,Pied honeyeater,Certhionyx variegatus,Honeyeaters,Passeriformes,Meliphagidae
617,Lewin's honeyeater,Meliphaga lewinii,Honeyeaters,Passeriformes,Meliphagidae
618,Yellow-spotted honeyeater,Meliphaga notata,Honeyeaters,Passeriformes,Meliphagidae
619,Graceful honeyeater,Meliphaga gracilis,Honeyeaters,Passeriformes,Meliphagidae
620,White-lined honeyeater,Meliphaga albilineata,Honeyeaters,Passeriformes,Meliphagidae
621,Kimberley honeyeater,Meliphaga fordiana,Honeyeaters,Passeriformes,Meliphagidae
622,Bridled honeyeater,Bolemoreus frenatus,Honeyeaters,Passeriformes,Meliphagidae
623,Eungella honeyeater,Bolemoreus hindwoodi,Honeyeaters,Passeriformes,Meliphagidae
624,Yellow-faced honeyeater,Caligavis chrysops,Honeyeaters,Passeriformes,Meliphagidae
625,Singing honeyeater,Gavicalis virescens,Honeyeaters,Passeriformes,Meliphagidae
626,Varied honeyeater,Gavicalis versicolor,Honeyeaters,Passeriformes,Meliphagidae
627,Mangrove honeyeater,Gavicalis fasciogularis,Honeyeaters,Passeriformes,Meliphagidae
628,White-gaped honeyeater,Stomiopera unicolor,Honeyeaters,Passeriformes,Meliphagidae
629,Yellow honeyeater,Stomiopera flava,Honeyeaters,Passeriformes,Meliphagidae
630,White-eared honeyeater,Nesoptilotis leucotis,Honeyeaters,Passeriformes,Meliphagidae
631,Yellow-throated honeyeater,Nesoptilotis flavicollis,Honeyeaters,Passeriformes,Meliphagidae
632,Yellow-tufted honeyeater,Lichenostomus melanops,Honeyeaters,Passeriformes,Meliphagidae
633,Purple-gaped honeyeater,Lichenostomus cratitius,Honeyeaters,Passeriformes,Meliphagidae
634,Grey-headed honeyeater,Ptilotula keartlandi,Honeyeaters,Passeriformes,Meliphagidae
635,Yellow-plumed honeyeater,Ptilotula ornata,Honeyeaters,Passeriformes,Meliphagidae
636,Grey-fronted honeyeater,Ptilotula plumula,Honeyeaters,Passeriformes,Meliphagidae
637,Fuscous honeyeater,Ptilotula fusca,Honeyeaters,Passeriformes,Meliphagidae
638,Yellow-tinted honeyeater,Ptilotula flavescens,Honeyeaters,Passeriformes,Meliphagidae
639,White-plumed honeyeater,Ptilotula penicillata,Honeyeaters,Passeriformes,Meliphagidae
640,White-fronted honeyeater,Purnella albifrons,Honeyeaters,Passeriformes,Meliphagidae
641,Bell miner,Manorina melanophrys,Honeyeaters,Passeriformes,Meliphagidae
642,Noisy miner,Manorina melanocephala,Honeyeaters,Passeriformes,Meliphagidae
643,Black-eared miner,Manorina melanotis,Honeyeaters,Passeriformes,Meliphagidae
644,Yellow-throated miner,Manorina flavigula,Honeyeaters,Passeriformes,Meliphagidae
645,Spiny-cheeked honeyeater,Acanthagenys rufogularis,Honeyeaters,Passeriformes,Meliphagidae
646,Western wattlebird,Anthochaera lunulata,Honeyeaters,Passeriformes,Meliphagidae
647,Little wattlebird,Anthochaera chrysoptera,Honeyeaters,Passeriformes,Meliphagidae
648,Regent honeyeater,Anthochaera phrygia,Honeyeaters,Passeriformes,Meliphagidae
649,Red wattlebird,Anthochaera carunculata,Honeyeaters,Passeriformes,Meliphagidae
650,Yellow wattlebird,Anthochaera paradoxa,Honeyeaters,Passeriformes,Meliphagidae
651,Brown-backed honeyeater,Ramsayornis modestus,Honeyeaters,Passeriformes,Meliphagidae
652,Bar-breasted honeyeater,Ramsayornis fasciatus,Honeyeaters,Passeriformes,Meliphagidae
653,Rufous-banded honeyeater,Conopophila albogularis,Honeyeaters,Passeriformes,Meliphagidae
654,Rufous-throated honeyeater,Conopophila rufogularis,Honeyeaters,Passeriformes,Meliphagidae
655,Grey honeyeater,Conopophila whitei,Honeyeaters,Passeriformes,Meliphagidae
656,Black honeyeater,Sugomel niger,Honeyeaters,Passeriformes,Meliphagidae
657,Dusky honeyeater,Myzomela obscura,Honeyeaters,Passeriformes,Meliphagidae
658,Red-headed honeyeater,Myzomela erythrocephala,Honeyeaters,Passeriformes,Meliphagidae
659,Scarlet honeyeater,Myzomela sanguinolenta,Honeyeaters,Passeriformes,Meliphagidae
660,Green-backed honeyeater,Glycichaera fallax,Honeyeaters,Passeriformes,Meliphagidae
661,Tawny-crowned honeyeater,Gliciphila melanops,Honeyeaters,Passeriformes,Meliphagidae
662,Banded honeyeater,Cissomela pectoralis,Honeyeaters,Passeriformes,Meliphagidae
663,Brown honeyeater,Lichmera indistincta,Honeyeaters,Passeriformes,Meliphagidae
664,Crescent honeyeater,Phylidonyris pyrrhoptera,Honeyeaters,Passeriformes,Meliphagidae
665,New Holland honeyeater,Phylidonyris novaehollandiae,Honeyeaters,Passeriformes,Meliphagidae
666,White-cheeked honeyeater,Phylidonyris nigra,Honeyeaters,Passeriformes,Meliphagidae
667,White-streaked honeyeater,Trichodere cockerelli,Honeyeaters,Passeriformes,Meliphagidae
668,Black-chinned honeyeater,Melithreptus gularis,Honeyeaters,Passeriformes,Meliphagidae
669,Strong-billed honeyeater,Melithreptus validirostris,Honeyeaters,Passeriformes,Meliphagidae
670,Brown-headed honeyeater,Melithreptus brevirostris,Honeyeaters,Passeriformes,Meliphagidae
671,White-throated honeyeater,Melithreptus albogularis,Honeyeaters,Passeriformes,Meliphagidae
672,White-naped honeyeater,Melithreptus lunatus,Honeyeaters,Passeriformes,Meliphagidae
673,Gilbert's honeyeater,Melithreptus chloropsis,Honeyeaters,Passeriformes,Meliphagidae
674,Black-headed honeyeater,Melithreptus affinis,Honeyeaters,Passeriformes,Meliphagidae
675,Blue-faced honeyeater,Entomyzon cyanotis,Honeyeaters,Passeriformes,Meliphagidae
676,Helmeted friarbird,Philemon buceroides,Honeyeaters,Passeriformes,Meliphagidae
677,Silver-crowned friarbird,Philemon argenticeps,Honeyeaters,Passeriformes,Meliphagidae
678,Noisy friarbird,Philemon corniculatus,Honeyeaters,Passeriformes,Meliphagidae
679,Little friarbird,Philemon citreogularis,Honeyeaters,Passeriformes,Meliphagidae
680,Macleay's honeyeater,Xanthotis macleayana,Honeyeaters,Passeriformes,Meliphagidae
681,Tawny-breasted honeyeater,Xanthotis flaviventer,Honeyeaters,Passeriformes,Meliphagidae
682,Striped honeyeater,Plectorhyncha lanceolata,Honeyeaters,Passeriformes,Meliphagidae
683,Painted honeyeater,Grantiella picta,Honeyeaters,Passeriformes,Meliphagidae
684,Crimson chat,Epthianura tricolor,Honeyeaters,Passeriformes,Meliphagidae
685,Orange chat,Epthianura aurifrons,Honeyeaters,Passeriformes,Meliphagidae
686,Yellow chat,Epthianura crocea,Honeyeaters,Passeriformes,Meliphagidae
687,White-fronted chat,Epthianura albifrons,Honeyeaters,Passeriformes,Meliphagidae
688,Gibberbird,Ashbyia lovensis,Honeyeaters,Passeriformes,Meliphagidae
689,Grey-crowned babbler,Pomatostomus temporalis,Babblers,Passeriformes,Pomatostomidae
690,Hall's babbler,Pomatostomus halli,Babblers,Passeriformes,Pomatostomidae
691,White-browed babbler,Pomatostomus superciliosus,Babblers,Passeriformes,Pomatostomidae
692,Chestnut-crowned babbler,Pomatostomus ruficeps,Babblers,Passeriformes,Pomatostomidae
693,Australian logrunner,Orthonyx temminckii,Logrunner and chowchilla,Passeriformes,Orthonychidae
694,Chowchilla,Orthonyx spaldingii,Logrunner and chowchilla,Passeriformes,Orthonychidae
695,Spotted quail-thrush,Cinclosoma punctatum,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
696,Chestnut quail-thrush,Cinclosoma castanotum,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
697,Cinnamon quail-thrush,Cinclosoma cinnamomeum,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
698,Copperback quail-thrush,Cinclosoma clarum,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
699,Nullarbor quail-thrush,Cinclosoma alisteri,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
700,Chestnut-breasted quail-thrush,Cinclosoma castaneothorax,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
701,Western quail-thrush,Cinclosoma marginatum,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
702,Eastern whipbird,Psophodes olivaceus,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
703,Western whipbird,Psophodes nigrogularis,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
704,Chirruping wedgebill,Psophodes cristatus,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
705,Chiming wedgebill,Psophodes occidentalis,"Quail-thrush, whipbirds and wedgebills",Passeriformes,Psophodidae
706,Varied sittella,Daphoenositta chrysoptera,Sittella,Passeriformes,Neosittidae
707,Ground cuckooshrike,Coracina maxima,Cuckooshrikes and trillers,Passeriformes,Campephagidae
708,Black-faced cuckooshrike,Coracina novaehollandiae,Cuckooshrikes and trillers,Passeriformes,Campephagidae
709,White-bellied cuckooshrike,Coracina papuensis,Cuckooshrikes and trillers,Passeriformes,Campephagidae
710,Barred cuckooshrike,Coracina lineata,Cuckooshrikes and trillers,Passeriformes,Campephagidae
711,Cicadabird,Coracina tenuirostris,Cuckooshrikes and trillers,Passeriformes,Campephagidae
712,White-winged triller,Lalage sueurii,Cuckooshrikes and trillers,Passeriformes,Campephagidae
713,Varied triller,Lalage leucomela,Cuckooshrikes and trillers,Passeriformes,Campephagidae
714,Long-tailed triller,Lalage leucopyga,Cuckooshrikes and trillers,Passeriformes,Campephagidae
715,Crested shriketit,Falcunculus frontatus,Whistlers and allies,Passeriformes,Pachycephalidae
716,Olive whistler,Pachycephala olivacea,Whistlers and allies,Passeriformes,Pachycephalidae
717,Red-lored whistler,Pachycephala rufogularis,Whistlers and allies,Passeriformes,Pachycephalidae
718,Gilbert's whistler,Pachycephala inornata,Whistlers and allies,Passeriformes,Pachycephalidae
719,Australian golden whistler,Pachycephala pectoralis,Whistlers and allies,Passeriformes,Pachycephalidae
720,Mangrove golden whistler,Pachycephala melanura,Whistlers and allies,Passeriformes,Pachycephalidae
721,Western whistler,Pachycephala occidentalis,Whistlers and allies,Passeriformes,Pachycephalidae
722,Grey whistler,Pachycephala simplex,Whistlers and allies,Passeriformes,Pachycephalidae
723,Rufous whistler,Pachycephala rufiventris,Whistlers and allies,Passeriformes,Pachycephalidae
724,White-breasted whistler,Pachycephala lanioides,Whistlers and allies,Passeriformes,Pachycephalidae
725,Little shrikethrush,Colluricincla megarhyncha,Whistlers and allies,Passeriformes,Pachycephalidae
726,Bower's shrikethrush,Colluricincla boweri,Whistlers and allies,Passeriformes,Pachycephalidae
727,Sandstone shrikethrush,Colluricincla woodwardi,Whistlers and allies,Passeriformes,Pachycephalidae
728,Grey shrikethrush,Colluricincla harmonica,Whistlers and allies,Passeriformes,Pachycephalidae
729,Crested bellbird,Oreoica gutturalis,Oreoicids,Passeriformes,Oreoicidae
730,Australasian figbird,Sphecotheres vieilloti,Figbird and orioles,Passeriformes,Oriolidae
731,Yellow oriole,Oriolus flavocinctus,Figbird and orioles,Passeriformes,Oriolidae
732,Olive-backed oriole,Oriolus sagittatus,Figbird and orioles,Passeriformes,Oriolidae
733,White-breasted woodswallow,Artamus leucorynchus,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
734,Masked woodswallow,Artamus personatus,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
735,White-browed woodswallow,Artamus superciliosus,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
736,Black-faced woodswallow,Artamus cinereus,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
737,Dusky woodswallow,Artamus cyanopterus,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
738,Little woodswallow,Artamus minor,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
739,Black butcherbird,Melloria quoyi,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
740,Grey butcherbird,Cracticus torquatus,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
741,Silver-backed butcherbird,Cracticus argenteus,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
742,Black-backed butcherbird,Cracticus mentalis,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
743,Pied butcherbird,Cracticus nigrogularis,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
744,Australian magpie,Cracticus tibicen,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
745,Pied currawong,Strepera graculina,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
746,Black currawong,Strepera fuliginosa,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
747,Grey currawong,Strepera versicolor,"Currawongs, woodswallows, butcherbirds and allies",Passeriformes,Artamidae
748,Spangled drongo,Dicrurus bracteatus,Drongo,Passeriformes,Dicruridae
749,Rufous fantail,Rhipidura rufifrons,Fantails,Passeriformes,Rhipiduridae
750,Arafura fantail,Rhipidura dryas,Fantails,Passeriformes,Rhipiduridae
751,New Zealand fantail,Rhipidura fuliginosa,Fantails,Passeriformes,Rhipiduridae
752,Grey fantail,Rhipidura albiscapa,Fantails,Passeriformes,Rhipiduridae
753,Mangrove grey fantail,Rhipidura phasiana,Fantails,Passeriformes,Rhipiduridae
754,Northern fantail,Rhipidura rufiventris,Fantails,Passeriformes,Rhipiduridae
755,Willie wagtail,Rhipidura leucophrys,Fantails,Passeriformes,Rhipiduridae
756,Brown shrike,Lanius cristatus,Shrikes,Passeriformes,Laniidae
757,Tiger shrike,Lanius tigrinus,Shrikes,Passeriformes,Laniidae
758,Australian raven,Corvus coronoides,"Magpie, crows and ravens",Passeriformes,Corvidae
759,Forest raven,Corvus tasmanicus,"Magpie, crows and ravens",Passeriformes,Corvidae
760,Little raven,Corvus mellori,"Magpie, crows and ravens",Passeriformes,Corvidae
761,Little crow,Corvus bennetti,"Magpie, crows and ravens",Passeriformes,Corvidae
762,Torresian crow,Corvus orru,"Magpie, crows and ravens",Passeriformes,Corvidae
763,House crow,Corvus splendens,"Magpie, crows and ravens",Passeriformes,Corvidae
764,Broad-billed flycatcher,Myiagra ruficollis,Monarch flycatchers,Passeriformes,Monarchidae
765,Leaden flycatcher,Myiagra rubecula,Monarch flycatchers,Passeriformes,Monarchidae
766,Satin flycatcher,Myiagra cyanoleuca,Monarch flycatchers,Passeriformes,Monarchidae
767,Shining flycatcher,Myiagra alecto,Monarch flycatchers,Passeriformes,Monarchidae
768,Restless flycatcher,Myiagra inquieta,Monarch flycatchers,Passeriformes,Monarchidae
769,White-eared monarch,Carterornis leucotis,Monarch flycatchers,Passeriformes,Monarchidae
770,Black-faced monarch,Monarcha melanopsis,Monarch flycatchers,Passeriformes,Monarchidae
771,Black-winged monarch,Monarcha frater,Monarch flycatchers,Passeriformes,Monarchidae
772,Island monarch,Monarcha cinerascens,Monarch flycatchers,Passeriformes,Monarchidae
773,Spectacled monarch,Symposiachrus trivirgatus,Monarch flycatchers,Passeriformes,Monarchidae
774,Magpie-lark,Grallina cyanoleuca,Monarch flycatchers,Passeriformes,Monarchidae
775,Frilled monarch,Arses telescophthalmus,Monarch flycatchers,Passeriformes,Monarchidae
776,Pied monarch,Arses kaupi,Monarch flycatchers,Passeriformes,Monarchidae
777,Yellow-breasted boatbill,Machaerirhynchus flaviventer,Monarch flycatchers,Passeriformes,Monarchidae
778,White-winged chough,Corcorax melanorhamphos,Chough and apostlebird,Passeriformes,Corcoracidae
779,Apostlebird,Struthidea cinerea,Chough and apostlebird,Passeriformes,Corcoracidae
780,Trumpet manucode,Phonygammus keraudrenii,Birds of paradise and riflebirds,Passeriformes,Paradisaeidae
781,Paradise riflebird,Ptiloris paradiseus,Birds of paradise and riflebirds,Passeriformes,Paradisaeidae
782,Victoria's riflebird,Ptiloris victoriae,Birds of paradise and riflebirds,Passeriformes,Paradisaeidae
783,Magnificent riflebird,Ptiloris magnificus,Birds of paradise and riflebirds,Passeriformes,Paradisaeidae
784,Jacky winter,Microeca fascinans,Australasian robins,Passeriformes,Petroicidae
785,Lemon-bellied flycatcher,Microeca flavigaster,Australasian robins,Passeriformes,Petroicidae
786,Yellow-legged flycatcher,Microeca griseoceps,Australasian robins,Passeriformes,Petroicidae
787,Norfolk robin,Petroica multicolor,Australasian robins,Passeriformes,Petroicidae
788,Scarlet robin,Petroica boodang,Australasian robins,Passeriformes,Petroicidae
789,Red-capped robin,Petroica goodenovii,Australasian robins,Passeriformes,Petroicidae
790,Flame robin,Petroica phoenicea,Australasian robins,Passeriformes,Petroicidae
791,Rose robin,Petroica rosea,Australasian robins,Passeriformes,Petroicidae
792,Pink robin,Petroica rodinogaster,Australasian robins,Passeriformes,Petroicidae
793,Hooded robin,Melanodryas cucullata,Australasian robins,Passeriformes,Petroicidae
794,Dusky robin,Melanodryas vittata,Australasian robins,Passeriformes,Petroicidae
795,Pale-yellow robin,Tregellasia capito,Australasian robins,Passeriformes,Petroicidae
796,White-faced robin,Tregellasia leucops,Australasian robins,Passeriformes,Petroicidae
797,Eastern yellow robin,Eopsaltria australis,Australasian robins,Passeriformes,Petroicidae
798,Western yellow robin,Eopsaltria griseogularis,Australasian robins,Passeriformes,Petroicidae
799,White-breasted robin,Eopsaltria georgiana,Australasian robins,Passeriformes,Petroicidae
800,Mangrove robin,Peneonanthe pulverulenta,Australasian robins,Passeriformes,Petroicidae
801,Grey-headed robin,Heteromyias cinereifrons,Australasian robins,Passeriformes,Petroicidae
802,White-browed robin,Poecilodryas superciliosa,Australasian robins,Passeriformes,Petroicidae
803,Buff-sided robin,Poecilodryas cerviniventris,Australasian robins,Passeriformes,Petroicidae
804,Northern scrub robin,Drymodes superciliaris,Australasian robins,Passeriformes,Petroicidae
805,Southern scrub robin,Drymodes brunneopygia,Australasian robins,Passeriformes,Petroicidae
806,Horsfield's bushlark,Mirafra javanica,Larks,Passeriformes,Alaudidae
807,Eurasian skylark,Alauda arvensis,Larks,Passeriformes,Alaudidae
808,Zitting cisticola,Cisticola juncidis,Cisticolas and allies,Passeriformes,Cisticolidae
809,Golden-headed cisticola,Cisticola exilis,Cisticolas and allies,Passeriformes,Cisticolidae
810,Australian reed warbler,Acrocephalus australis,Reed warblers,Passeriformes,Acrocephalidae
811,Oriental reed warbler,Acrocephalus orientalis,Reed warblers,Passeriformes,Acrocephalidae
812,Tawny grassbird,Megalurus timoriensis,"Grassbirds, songlarks and allies",Passeriformes,Megaluridae
813,Little grassbird,Megalurus gramineus,"Grassbirds, songlarks and allies",Passeriformes,Megaluridae
814,Rufous songlark,Megalurus mathewsi,"Grassbirds, songlarks and allies",Passeriformes,Megaluridae
815,Brown songlark,Megalurus cruralis,"Grassbirds, songlarks and allies",Passeriformes,Megaluridae
816,Spinifexbird,Megalurus carteri,"Grassbirds, songlarks and allies",Passeriformes,Megaluridae
817,Christmas Island white-eye,Zosterops natalis,White-eyes,Passeriformes,Zosteropidae
818,Pale white-eye,Zosterops citrinella,White-eyes,Passeriformes,Zosteropidae
819,Yellow white-eye,Zosterops luteus,White-eyes,Passeriformes,Zosteropidae
820,Silvereye,Zosterops lateralis,White-eyes,Passeriformes,Zosteropidae
821,Robust white-eye,Zosterops strenuus,White-eyes,Passeriformes,Zosteropidae
822,Slender-billed white-eye,Zosterops tenuirostris,White-eyes,Passeriformes,Zosteropidae
823,White-chested white-eye,Zosterops albogularis,White-eyes,Passeriformes,Zosteropidae
824,Middendorff's grasshopper warbler,Locustella ochotensis,Old World warblers,Passeriformes,Sylviidae
825,Pallas's grasshopper warbler,Locustella certhiola,Old World warblers,Passeriformes,Sylviidae
826,Arctic warbler,Phylloscopus borealis,Leaf-warblers,Passeriformes,Phylloscopidae
827,Dusky warbler,Phylloscopus fuscatus,Leaf-warblers,Passeriformes,Phylloscopidae
828,White-backed swallow,Cheramoeca leucosternus,Swallows,Passeriformes,Hirundinidae
829,Barn swallow,Hirundo rustica,Swallows,Passeriformes,Hirundinidae
830,Welcome swallow,Hirundo neoxena,Swallows,Passeriformes,Hirundinidae
831,Fairy martin,Petrochelidon ariel,Swallows,Passeriformes,Hirundinidae
832,Tree martin,Petrochelidon nigricans,Swallows,Passeriformes,Hirundinidae
833,Red-rumped swallow,Cecropis daurica,Swallows,Passeriformes,Hirundinidae
834,Asian house martin,Delichon dasypus,Swallows,Passeriformes,Hirundinidae
835,Red-whiskered bulbul,Pycnonotus jocosus,Bulbuls,Passeriformes,Pycnonotidae
836,Blue rock thrush,Monticola solitarius,Old World flycatchers,Passeriformes,Muscicapidae
837,Isabelline wheatear,Oenanthe isabellina,Old World flycatchers,Passeriformes,Muscicapidae
838,Narcissus flycatcher,Ficedula narcissina,Old World flycatchers,Passeriformes,Muscicapidae
839,Blue-and-white flycatcher,Cyanoptila cyanomelana,Old World flycatchers,Passeriformes,Muscicapidae
840,Dark-sided flycatcher,Muscicapa sibirica,Old World flycatchers,Passeriformes,Muscicapidae
841,Asian brown flycatcher,Muscicapa dauurica,Old World flycatchers,Passeriformes,Muscicapidae
842,Bassian thrush,Zoothera lunulata,Thrushes and allies,Passeriformes,Turdidae
843,Russet-tailed thrush,Zoothera heinei,Thrushes and allies,Passeriformes,Turdidae
844,Blackbird,Turdus merula,Thrushes and allies,Passeriformes,Turdidae
845,Island thrush,Turdus poliocephalus,Thrushes and allies,Passeriformes,Turdidae
846,Song thrush,Turdus philomelos,Thrushes and allies,Passeriformes,Turdidae
847,Singing starling,Aplonis cantoroides,Starlings,Passeriformes,Sturnidae
848,Tasman starling,Aplonis fusca,Starlings,Passeriformes,Sturnidae
849,Metallic starling,Aplonis metallica,Starlings,Passeriformes,Sturnidae
850,Common starling,Sturnus vulgaris,Starlings,Passeriformes,Sturnidae
851,Daurian starling,Agropsar sturninus,Starlings,Passeriformes,Sturnidae
852,Rosy starling,Pastor roseus,Starlings,Passeriformes,Sturnidae
853,Common myna,Acridotheres tristis,Starlings,Passeriformes,Sturnidae
854,Red-capped flowerpecker,Dicaeum geelvinkianum,Flowerpeckers,Passeriformes,Dicaeidae
855,Mistletoebird,Dicaeum hirundinaceum,Flowerpeckers,Passeriformes,Dicaeidae
856,Olive-backed sunbird,Nectarinia jugularis,Sunbirds and spiderhunters,Passeriformes,Nectariniidae
857,Zebra finch,Taeniopygia guttata,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
858,Double-barred finch,Taeniopygia bichenovii,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
859,Long-tailed finch,Poephila acuticauda,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
860,Black-throated finch,Poephila cincta,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
861,Masked finch,Poephila personata,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
862,Crimson finch,Neochmia phaeton,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
863,Star finch,Neochmia ruficauda,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
864,Plum-headed finch,Neochmia modesta,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
865,Red-browed finch,Neochmia temporalis,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
866,Diamond firetail,Stagonopleura guttata,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
867,Beautiful firetail,Stagonopleura bella,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
868,Red-eared firetail,Stagonopleura oculata,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
