,Common name,Binomial,Category,Order,Family
278,Australian spotted crake,Porzana fluminea,"Rails, crakes and coots",Gruiformes,Rallidae
279,Ruddy-breasted crake,Porzana fusca,"Rails, crakes and coots",Gruiformes,Rallidae
280,Spotless crake,Porzana tabuensis,"Rails, crakes and coots",Gruiformes,Rallidae
281,White-browed crake,Amaurornis cinerea,"Rails, crakes and coots",Gruiformes,Rallidae
282,Pale-vented bush-hen,Amaurornis moluccana,"Rails, crakes and coots",Gruiformes,Rallidae
283,White-breasted waterhen,Amaurornis phoenicurus,"Rails, crakes and coots",Gruiformes,Rallidae
284,Watercock,Gallicrex cinerea,"Rails, crakes and coots",Gruiformes,Rallidae
285,Black-tailed nativehen,Tribonyx ventralis,"Rails, crakes and coots",Gruiformes,Rallidae
286,Tasmanian nativehen,Tribonyx mortierii,"Rails, crakes and coots",Gruiformes,Rallidae
287,Dusky moorhen,Gallinula tenebrosa,"Rails, crakes and coots",Gruiformes,Rallidae
288,Eurasian coot,Fulica atra,"Rails, crakes and coots",Gruiformes,Rallidae
289,Australian bustard,Ardeotis australis,Bustards,Otidiformes,Otididae
290,Black-faced sheathbill,Chionis minor,Sheathbills,Charadriiformes,Chionididae
291,Bush stone-curlew,Burhinus grallarius,Stone-curlews (thick-knees),Charadriiformes,Burhinidae
292,Beach stone-curlew,Esacus magnirostris,Stone-curlews (thick-knees),Charadriiformes,Burhinidae
293,South Island pied oystercatcher,Haematopus finschi,Oystercatchers,Charadriiformes,Haematopodidae
294,Australian pied oystercatcher,Haematopus longirostris,Oystercatchers,Charadriiformes,Haematopodidae
295,Sooty oystercatcher,Haematopus fuliginosus,Oystercatchers,Charadriiformes,Haematopodidae
296,Black-winged stilt,Himantopus himantopus,Avocets and stilts,Charadriiformes,Recurvirostridae
