,Binomial,Category,Common name,Family,Notes,Order,colour,common_name_in_url,size,url,"('nsw', 'vic', 'tas', 'act', 'sa', 'wa', 'nt', 'qld')",nsw,vic,tas,act,sa,wa,nt,qld,min_weight,max_weight,min_length,max_length,images_url,voice_url,Description,Sourcescolour
121,Thalassarche carteri,Albatrosses,Yellow-nosed albatross,Diomedeidae,,Procellariiformes,,Yellow-nosed_albatross,,https://en.wikipedia.org/wiki/Yellow-nosed_albatross,,,,,,,,,,,,,,,,,
122,Thalassarche bulleri,Albatrosses,Buller's albatross,Diomedeidae,,Procellariiformes,,Buller's_albatross,,https://en.wikipedia.org/wiki/Buller's_albatross,,,,,,,,,,,,,,,,,
124,Phoebetria palpebrata,Albatrosses,Light-mantled sooty albatross,Diomedeidae,,Procellariiformes,,Light-mantled_sooty_albatross,,https://en.wikipedia.org/wiki/Light-mantled_sooty_albatross,,,,,,,,,,,,,,,,,
133,Pachyptila salvini,"Fulmars, petrels and shearwaters",Salvin's prion,Procellariidae,,Procellariiformes,,Salvin's_prion,,https://en.wikipedia.org/wiki/Salvin's_prion,,,,,,,,,,,,,,,,,
137,Pachyptila crassirostris,"Fulmars, petrels and shearwaters",Fulmar prion,Procellariidae,vagrant; Heard Island,Procellariiformes,,Fulmar_prion,,https://en.wikipedia.org/wiki/Fulmar_prion,,,,,,,,,,,,,,,,,
142,Bulweria bulwerii,"Fulmars, petrels and shearwaters",Bulwer's petrel,Procellariidae,vagrant,Procellariiformes,,Bulwer's_petrel,,https://en.wikipedia.org/wiki/Bulwer's_petrel,,,,,,,,,,,,,,,,,
143,Bulweria fallax,"Fulmars, petrels and shearwaters",Jouanin's petrel,Procellariidae,vagrant,Procellariiformes,,Jouanin's_petrel,,https://en.wikipedia.org/wiki/Jouanin's_petrel,,,,,,,,,,,,,,,,,
145,Ardenna bulleri,"Fulmars, petrels and shearwaters",Buller's shearwater,Procellariidae,,Procellariiformes,,Buller's_shearwater,,https://en.wikipedia.org/wiki/Buller's_shearwater,,,,,,,,,,,,,,,,,
150,Ardenna tenuirostris,"Fulmars, petrels and shearwaters",Short-tailed shearwater,Procellariidae,,Procellariiformes,,Short-tailed_shearwater,,https://en.wikipedia.org/wiki/Short-tailed_shearwater,,,,,,,,,,,,,,,,,
151,Calonectris leucomelas,"Fulmars, petrels and shearwaters",Streaked shearwater,Procellariidae,,Procellariiformes,,Streaked_shearwater,,https://en.wikipedia.org/wiki/Streaked_shearwater,,,,,,,,,,,,,,,,,
152,Puffinus puffinus,"Fulmars, petrels and shearwaters",Manx shearwater,Procellariidae,vagrant,Procellariiformes,,Manx_shearwater,,https://en.wikipedia.org/wiki/Manx_shearwater,,,,,,,,,,,,,,,,,
153,Puffinus newelli,"Fulmars, petrels and shearwaters",Newell's shearwater,Procellariidae,vagrant,Procellariiformes,,Newell's_shearwater,,https://en.wikipedia.org/wiki/Newell's_shearwater,,,,,,,,,,,,,,,,,
154,Puffinus gavia,"Fulmars, petrels and shearwaters",Fluttering shearwater,Procellariidae,,Procellariiformes,,Fluttering_shearwater,,https://en.wikipedia.org/wiki/Fluttering_shearwater,,,,,,,,,,,,,,,,,
155,Puffinus huttoni,"Fulmars, petrels and shearwaters",Hutton's shearwater,Procellariidae,,Procellariiformes,,Hutton's_shearwater,,https://en.wikipedia.org/wiki/Hutton's_shearwater,,,,,,,,,,,,,,,,,
156,Puffinus bailloni,"Fulmars, petrels and shearwaters",Tropical shearwater,Procellariidae,vagrant,Procellariiformes,,Tropical_shearwater,,https://en.wikipedia.org/wiki/Tropical_shearwater,,,,,,,,,,,,,,,,,
157,Puffinus persicus,"Fulmars, petrels and shearwaters",Persian shearwater,Procellariidae,vagrant,Procellariiformes,,Persian_shearwater,,https://en.wikipedia.org/wiki/Persian_shearwater,,,,,,,,,,,,,,,,,
